k,X,Y,Z
,0.09387207,-0.841781616,-0.353469849
,0.094848633,-1.690414429,0.128845215
,0.071990967,-1.116973877,-0.342163086
,0.036209106,0.000274658,-0.336486816
,-0.00189209,-0.83605957,0.218322754
,-0.07244873,-1.897583008,-0.747039795
,0.836578369,-0.254516602,-0.022155762
,-0.11656189,-1.238052368,0.12953186
,-0.382080078,-0.515914917,-0.407211304
,0.947189331,-1.520385742,-1.033599854
,-0.043457031,-0.801193237,-0.319366455
,-0.107070923,-0.971893311,-0.297286987
,-0.082611084,-0.974578857,-0.204925537
,0.011047363,-1.008529663,-0.225769043
,0.006546021,-1.011062622,-0.158630371
,-0.039825439,-1.006271362,-0.225906372
,0.016204834,-0.918701172,-0.22845459
,-0.00112915,-1.001922607,-0.156677246
,0.03125,-0.948135376,-0.149353027
,0.085983276,-0.961380005,-0.214508057
