k,X,Y,Z
,0.089233398,-0.483093262,-0.401321411
,-0.227767944,-1.233795166,-0.640441895
,0.074523926,0.263305664,-0.449234009
,-0.130844116,-1.436737061,-0.009643555
,0.192642212,-0.857757568,0.033325195
,0.957519531,0.148117065,-0.062850952
,-0.521850586,-1.20652771,0.192810059
,0.015838623,-0.469543457,-0.345291138
,0.783477783,-1.706039429,-0.719802856
,-0.377410889,-0.439147949,-0.412872314
,0.063262939,-0.776504517,-0.098632813
,0.090942383,-1.10559082,1.53E-05
,0.054092407,-1.122238159,-0.359512329
,-0.051727295,-0.973495483,-0.320556641
,-0.131164551,-0.930953979,-0.233474731
,-0.052001953,-0.954345703,-0.194503784
,0.005737305,-0.973480225,-0.263076782
,0.021484375,-0.946334839,-0.449050903
,0.041885376,-0.941986084,-0.281555176
