k,X,Y,Z
,0.108627319,-1.521530151,-0.324645996
,0.08946228,-1.059280396,-0.407852173
,-0.062530518,-0.253479004,0.081054688
,0.183807373,-0.556335449,0.10067749
,-0.149536133,-1.669906616,-0.11026001
,-0.376342773,-1.254974365,-0.277145386
,0.340026855,-0.571899414,-0.268569946
,0.405532837,-0.504318237,0.112243652
,-0.522689819,-1.175811768,0.483322144
,-0.472106934,-0.329864502,0.049865723
,0.695251465,-1.391845703,-0.555511475
,0.361663818,-1.500061035,-0.646743774
,-0.273071289,-0.565460205,0.264450073
