n,X,Y,Z
,0.072250366,-0.690063477,-0.439483643
,-0.046401978,-1.392150879,-0.53012085
,-0.046600342,-0.20664978,-0.279144287
,-0.046127319,-0.636917114,-0.412475586
,0.327850342,-2.341018677,-0.746749878
,0.033218384,-0.687133789,-0.399429321
,0.086517334,-0.669464111,-0.164749146
,-0.017684937,-0.95111084,0.063018799
,-0.004806519,-0.991760254,-0.112976074
