W,X,Y,Z
,-0.12310791,-0.343521118,0.253662109
,0.24281311,-1.667617798,-0.66078186
,-0.007125854,-1.601028442,-0.918319702
,0.292785645,-0.48538208,-0.53503418
,0.114028931,-0.765640259,-0.127746582
,,,
,0.000350952,-0.589111328,-0.087722778
,-0.218704224,-0.680007935,0.09211731
,0.141433716,-1.65133667,-0.085693359
,-0.100921631,-1.549758911,-0.139022827
,0.022674561,-0.011993408,-0.033050537
,-0.138198853,-0.952438354,0.043395996
,0.125518799,-1.85345459,-0.808319092
,0.214706421,-0.553207397,-0.309310913
,0.113021851,-0.861968994,0.02507019
,,,
,0.000350952,-0.589111328,-0.087722778
,-0.218704224,-0.680007935,0.09211731
,0.141433716,-1.65133667,-0.085693359
,-0.100921631,-1.549758911,-0.139022827
,0.022674561,-0.011993408,-0.033050537
,-0.138198853,-0.952438354,0.043395996
,0.125518799,-1.85345459,-0.808319092
,0.214706421,-0.553207397,-0.309310913
,0.113021851,-0.861968994,0.02507019
