o,X,Y,Z
,0.044265747,-0.905426025,-0.197540283
,-0.527542114,-1.530426025,-0.476013184
,-0.444259644,-0.411102295,-0.198806763
,0.540298462,-0.536651611,-0.027893066
,0.43069458,-1.144470215,-0.344680786
,-0.291000366,-0.946762085,-0.540725708
