o,X,Y,Z
,-0.215545654,-0.845306396,-0.624588013
,-0.023162842,-0.825897217,-0.466506958
,-0.030776978,-0.898193359,-0.430892944
,-0.036636353,-0.87538147,-0.417404175
,-0.046905518,-0.884597778,-0.402740479
,0.002334595,-0.910293579,-0.462982178
