I,X,Y,Z
,-0.075164795,-1.009399414,0.046508789
,0.066101074,-0.43510437,0.648376465
,0.076004028,0.864349365,-1.9559021
,0.214157104,0.993835449,-0.402099609
,-1.316650391,-0.218643188,-0.406677246
,1.829864502,-0.646697998,-0.079299927
,-0.457458496,-0.227432251,-1.321029663
,-0.608825684,-0.077468872,-1.374298096
,0.763671875,-0.649047852,-0.664840698
,,,
,-0.10874939,-0.90965271,-0.127593994
,-0.046264648,-0.026290894,0.438110352
,1.073181152,-0.65953064,-4.091720581
,-0.590408325,0.212982178,0.144271851
,-0.86088562,0.073257446,-1.064193726
,1.679092407,-0.766571045,0.171051025
,-1.047088623,-0.186798096,-1.07220459
,0.262023926,0.0675354,-0.840667725
,0.233078003,-0.559844971,-0.594589233
,,,
,-0.048278809,-0.910736084,0.010025024
,-0.01612854,-0.476211548,0.495605469
,0.446517944,0.384552002,-2.88394165
,0.29574585,0.749969482,-0.245697021
,-1.326171875,-0.322631836,-0.166503906
,1.289581299,-0.800170898,-0.801895142
,0.061080933,0.189682007,-0.662200928
,-0.818054199,-0.101287842,-1.684585571
,1.247436523,-0.54800415,-0.813049316
,0.183746338,-0.453262329,-0.819702148
,,,
,-0.027099609,-0.931716919,0.069580078
,-0.025527954,-0.386474609,0.28453064
,0.709472656,0.277954102,-2.241622925
,0.633407593,1.11126709,-0.222229004
,-1.074478149,-0.391708374,-0.670333862
,1.024765015,-0.447631836,-0.521774292
,0.521133423,-0.173187256,-0.06918335
,-0.471801758,-0.131698608,-1.621398926
,1.371032715,-0.204986572,-0.760452271
,0.365600586,-0.492294312,-0.732025146
,,,
,-0.048583984,-0.907470703,0.006958008
,0.008987427,-0.774536133,0.214523315
,0.169189453,0.545532227,-1.166641235
,0.600875854,0.6118927,-0.749282837
,-1.111312866,-0.177841187,-0.227630615
,0.458099365,-0.02331543,-1.449951172
,0.762695313,-0.275344849,-0.078781128
,-0.71156311,-0.163970947,-1.618988037
,0.436477661,0.398422241,-0.815307617
,0.374435425,-0.526412964,-0.618377686
,,,
,-0.047363281,-0.882400513,0.180374146
,0.021102905,-0.243728638,0.442352295
,0.189865112,-0.47064209,-5.582611084
,0.119949341,0.003448486,0.269180298
,-1.473129272,-0.444412231,-0.449813843
,2.286636353,-0.853439331,-0.926956177
,-0.682159424,0.132461548,-1.373321533
,-0.677734375,-0.066253662,-1.143066406
,0.538070679,-0.620803833,-0.811309814
,,,
,0.018005371,-1.046508789,-0.038818359
,0.376220703,-0.717834473,0.200073242
,0.319229126,0.080413818,-4.279891968
,0.164993286,0.184432983,-0.23399353
,-1.395828247,-0.318893433,-0.405654907
,2.076339722,-0.485565186,-0.688598633
,-0.022460938,-0.051177979,-0.96937561
,-1.408218384,-0.201293945,-1.421478271
,1.396469116,-0.171691895,-1.815216064
,0.127609253,-0.610992432,-0.75302124
,,,
,0.041702271,-1.001205444,-0.193832397
,0.08631897,-0.333450317,0.227890015
,0.426834106,-0.010406494,-5.11932373
,-0.191345215,0.39805603,0.002822876
,-0.947006226,-0.537094116,-1.073974609
,1.784423828,-0.741744995,-0.315963745
,-0.897949219,-0.495864868,-1.44203186
,-0.216537476,0.038650513,-0.953216553
,0.382995605,-0.611068726,-0.721405029
,,,
,-0.007461548,-0.886474609,0.114135742
,-0.097122192,0.152862549,0.268676758
,1.064559937,0.044113159,-4.527389526
,-0.506591797,0.055953979,-0.048217773
,-1.030349731,-0.328369141,-0.997253418
,1.537231445,-0.538284302,0.180160522
,-0.792556763,-0.081756592,-1.215438843
,0.193527222,0.363891602,-1.120559692
,0.469543457,-0.605377197,-0.868118286
,,,
,0.035751343,-1.055923462,-0.360839844
,0.018829346,-0.584884644,0.365112305
,-0.118408203,0.672058105,-0.057250977
,0.444152832,0.560394287,-1.685409546
,-1.398223877,-0.322769165,-0.218063354
,0.837112427,-0.305145264,-0.906845093
,0.437973022,-0.403213501,0.038116455
,-0.990890503,-0.723526001,-0.883560181
,0.723831177,0.332199097,-1.118392944
,-0.137313843,-0.225997925,-0.81211853
,,,
,0.077041626,-0.864532471,0.043884277
,-0.157592773,0.024642944,0.611328125
,1.062042236,-0.436264038,-4.814956665
,-0.250854492,0.307937622,0.173065186
,-1.277603149,-0.616378784,-1.031188965
,2.192565918,-0.5493927,-0.142730713
,-0.315200806,-0.373840332,-1.263031006
,-0.617202759,0.007980347,-1.552307129
,0.837860107,-0.602005005,-0.76222229
,,,
