c,X,Y,Z
,0.02063,-0.80426,-0.28104
,-0.07193,-0.00023,-0.18159
,0.212738,0.137177,-2.71339
,-0.22682,0.499527,-1.26636
,0.064789,-0.20554,0.321106
,0.990524,-0.16005,-0.6709
,0.582108,0.230362,-1.41101
