m,X,Y,Z
,-0.031585693,-2.048156738,-0.494506836
,-0.007232666,-0.720291138,-0.158325195
,-0.029312134,-0.066665649,0.076080322
,-0.149871826,-1.891983032,-0.240478516
,-0.104919434,-0.869796753,-0.164901733
,0.123443604,-0.141891479,0.039367676
,0.094848633,-1.055801392,-0.277954102
