b,X,Y,Z
,-0.00134,-0.7639,-0.12508
,0.106827,0.244781,-0.40927
,0.233795,0.289642,-2.18916
,-0.00636,0.391891,-1.15025
,-0.44337,-0.25932,-0.05241
,0.333328,-0.12399,-0.10284
,0.694443,0.545135,-1.85349
,-0.1834,0.375916,-1.12936
