l,X,Y,Z
,0.094818115,-0.96824646,-0.395965576
,-0.046340942,-0.886459351,-0.21055603
,-0.054168701,-0.055725098,-0.007888794
,-0.097457886,-1.431091309,-0.817993164
,-0.284225464,-0.715332031,-0.739135742
,0.285110474,-0.955474854,-0.32963562
