l,X,Y,Z
,-0.011413574,-0.704696655,-0.098464966
,-0.094848633,-0.650497437,-0.445480347
,-0.14440918,-0.888885498,-1.135375977
,-0.189407349,-0.427612305,-0.747528076
,0.322433472,-0.616744995,-0.862030029
